['768', '346', '728', '533', '183']
['203', '129', '589', '398', '754']
['887', '774', '147', '838', '148']
['722', '725', '264', '526', '672']
['105', '501', '935', '448', '175']
['356', '164', '982', '809', '504']
['217', '292', '713', '329', '48']
['941', '490', '27', '165', '55']
['703', '322', '260', '890', '256']
['491', '981', '544', '650', '883']
['297', '445', '113', '295', '101']
['532', '371', '298', '230', '658']
['4', '662', '128', '776', '784']
['617', '508', '282', '319', '361']
['302', '87', '513', '222', '411']
['958', '609', '462', '757', '962']
['814', '773', '829', '509', '413']
['46', '524', '378', '506', '624']
['369', '195', '568', '745', '404']
['946', '424', '390', '593', '535']
['347', '986', '40', '252', '452']
['415', '190', '605', '233', '618']
['178', '528', '133', '202', '466']
['112', '998', '140', '839', '66']
['955', '171', '311', '951', '220']
['42', '82', '468', '207', '659']
['862', '94', '937', '885', '514']
['763', '173', '554', '684', '799']
['603', '316', '980', '938', '628']
['160', '521', '732', '460', '281']
['151', '931', '681', '692', '785']
['891', '198', '251', '717', '218']
['901', '813', '710', '997', '157']
['401', '152', '189', '271', '936']
['580', '214', '320', '540', '296']
['963', '427', '653', '819', '402']
['708', '947', '796', '702', '582']
['370', '733', '226', '585', '867']
['771', '32', '333', '331', '735']
