['639', '729', '613', '643', '201', '472', '662', '624', '371', '712', '2', '342', '616', '775', '387', '705', '817', '584', '450', '787', '337', '781', '243', '840', '165', '322', '565', '45', '437', '647', '851']
['845', '675', '670', '505', '7', '495', '583', '725', '136', '901', '654', '758', '164', '362', '334', '651', '480', '950', '313', '835', '459', '341', '867', '797', '500', '70', '501', '907', '404', '181', '631']
['108', '469', '286', '299', '315', '351', '354', '741', '735', '59', '768', '522', '855', '458', '38', '320', '919', '367', '702', '255', '145', '325', '548', '681', '564', '361', '19', '596', '168', '503', '370']
['699', '375', '452', '585', '106', '488', '545', '745', '696', '220', '929', '757', '175', '656', '431', '153', '388', '602', '248', '94', '182', '808', '828', '25', '438', '913', '272', '346', '801', '795', '652']
['894', '161', '709', '766', '487', '682', '876', '113', '748', '82', '453', '778', '844', '216', '517', '587', '3', '240', '831', '547', '719', '160', '13', '641', '673', '85', '860', '155', '772', '110', '637']
['476', '176', '307', '530', '281', '910', '486', '573', '311', '792', '75', '665', '925', '649', '706', '473', '407', '804', '198', '627', '297', '524', '40', '271', '442', '694', '232', '537', '935', '762', '360']
['308', '926', '135', '265', '760', '144', '345', '554', '89', '405', '282', '859', '611', '17', '53', '898', '403', '111', '49', '815', '78', '555', '776', '52', '466', '597', '51', '948', '569', '878', '397']
['434', '373', '518', '178', '571', '410', '398', '765', '818', '100', '698', '443', '128', '305', '251', '810', '421', '661', '483', '115', '536', '852', '166', '634', '327', '302', '552', '493', '138', '204', '499']
['666', '233', '940', '95', '463', '956', '268', '928', '839', '952', '186', '353', '785', '934', '125', '954', '838', '62', '148', '323', '644', '601', '704', '543', '6', '906', '862', '773', '945', '34', '955']
['753', '33', '197', '475', '212', '863', '927', '101', '127', '55', '812', '903', '256', '237', '290', '477', '192', '391', '800', '326', '895', '14', '223', '533', '567', '944', '73', '415', '427', '435', '829']
['788', '902', '122', '385', '743', '460', '229', '510', '489', '112', '170', '544', '739', '91', '578', '445', '199', '629', '655', '83', '93', '213', '316', '31', '479', '915', '324', '401', '259', '189', '625']
['615', '129', '658', '222', '96', '899', '278', '18', '708', '946', '424', '608', '780', '377', '858', '849', '686', '784', '752', '560', '727', '140', '922', '697', '146', '721', '262', '306', '689', '241', '121']
['794', '814', '332', '65', '88', '626', '575', '270', '413', '841', '280', '959', '380', '39', '364', '737', '183', '219', '837', '516', '715', '502', '97', '667', '207', '58', '600', '455', '432', '492', '484']
['883', '576', '471', '923', '607', '550', '890', '880', '253', '423', '865', '816', '63', '420', '411', '234', '379', '957', '46', '742', '889', '805', '26', '873', '470', '406', '301', '622', '10', '527', '678']
['429', '595', '645', '114', '497', '861', '713', '30', '750', '909', '884', '399', '137', '214', '344', '454', '807', '509', '422', '931', '48', '683', '690', '749', '258', '42', '402', '358', '628', '226', '478']
['283', '726', '396', '156', '519', '382', '16', '130', '507', '439', '720', '99', '951', '482', '92', '653', '916', '562', '448', '244', '185', '960', '202', '335', '250', '635', '15', '485', '820', '941', '131']
['769', '586', '252', '799', '528', '109', '911', '378', '733', '447', '269', '416', '231', '490', '930', '842', '21', '104', '217', '688', '374', '465', '343', '636', '539', '832', '263', '462', '57', '348', '623']
['196', '350', '105', '5', '139', '559', '577', '276', '336', '770', '50', '275', '400', '347', '512', '133', '732', '514', '848', '819', '419', '425', '668', '284', '953', '904', '249', '671', '200', '194', '893']
