['510', '54', '658', '428', '173', '237', '955', '412', '419', '714', '181', '699', '225', '400', '53', '532', '828', '386', '788', '918']
['247', '101', '855', '493', '683', '437', '663', '456', '996', '257', '716', '308', '78', '43', '67', '460', '81', '289', '557', '916']
['840', '305', '414', '614', '326', '666', '587', '51', '390', '48', '947', '757', '945', '525', '144', '899', '64', '859', '654', '472']
['704', '705', '939', '508', '597', '831', '56', '576', '875', '474', '512', '186', '628', '13', '862', '907', '47', '362', '342', '457']
['346', '680', '802', '341', '936', '151', '980', '902', '476', '906', '753', '659', '72', '420', '488', '582', '989', '958', '336', '950']
['759', '509', '751', '459', '650', '610', '533', '82', '889', '485', '877', '792', '959', '148', '352', '600', '467', '534', '514', '153']
['990', '205', '693', '120', '397', '128', '835', '246', '735', '76', '94', '236', '333', '210', '15', '928', '561', '271', '321', '304']
['568', '728', '793', '585', '618', '891', '984', '630', '768', '896', '784', '96', '736', '491', '127', '781', '218', '684', '378', '215']
['836', '149', '539', '742', '295', '174', '727', '978', '606', '834', '281', '798', '881', '911', '581', '274', '721', '754', '511', '4']
['24', '752', '494', '256', '282', '361', '872', '235', '469', '196', '863', '975', '152', '668', '924', '868', '297', '667', '194', '453']
['150', '286', '349', '861', '376', '180', '418', '260', '102', '883', '283', '715', '139', '477', '681', '300', '243', '45', '106', '995']
['522', '176', '445', '0', '55', '470', '384', '163', '248', '853', '31', '815', '287', '697', '517', '567', '796', '20', '845', '621']
['756', '690', '137', '322', '905', '744', '977', '546', '634', '348', '677', '941', '36', '953', '339', '426', '57', '5', '108', '540']
['641', '516', '536', '35', '69', '443', '777', '241', '221', '518', '249', '685', '607', '691', '626', '290', '216', '399', '760', '545']
['552', '133', '184', '427', '531', '720', '692', '40', '273', '405', '569', '504', '423', '202', '359', '251', '912', '564', '458', '960']
['632', '638', '375', '644', '767', '865', '131', '547', '350', '164', '213', '746', '406', '867', '188', '631', '154', '175', '21', '347']
['158', '780', '425', '115', '232', '38', '854', '351', '527', '288', '764', '358', '586', '401', '957', '952', '599', '80', '394', '664']
['897', '707', '107', '30', '484', '988', '565', '220', '320', '929', '27', '592', '700', '226', '298', '609', '763', '809', '410', '880']
['686', '316', '971', '345', '303', '954', '417', '790', '919', '839', '311', '755', '489', '204', '329', '44', '134', '878', '822', '601']
['528', '319', '739', '903', '147', '694', '774', '275', '732', '486', '611', '554', '481', '922', '590', '70', '189', '140', '387', '850']
['520', '487', '649', '497', '578', '909', '143', '651', '214', '501', '192', '997', '999', '670', '758', '455', '447', '645', '121', '993']
['938', '18', '544', '530', '785', '395', '125', '262', '543', '776', '521', '98', '966', '317', '355', '963', '475', '301', '873', '519']
['211', '337', '588', '722', '373', '869', '28', '643', '449', '673', '524', '8', '39', '879', '111', '244', '703', '461', '468', '398']
['876', '293', '382', '935', '920', '436', '71', '973', '209', '191', '199', '506', '242', '464', '818', '652', '948', '731', '860', '761']
['23', '450', '496', '391', '480', '371', '991', '95', '591', '234', '981', '604', '61', '284', '407', '238', '495', '110', '678', '372']
['74', '866', '269', '741', '559', '970', '431', '558', '330', '817', '294', '985', '572', '871', '100', '93', '377', '409', '162', '944']
['259', '851', '931', '737', '529', '222', '775', '85', '689', '884', '318', '967', '22', '574', '783', '360', '605', '87', '126', '615']
['937', '515', '657', '217', '135', '112', '505', '169', '826', '748', '380', '105', '729', '325', '674', '313', '500', '62', '913', '245']
['156', '656', '367', '523', '166', '33', '296', '440', '635', '277', '364', '261', '179', '629', '926', '779', '682', '778', '84', '392']
['195', '17', '435', '332', '103', '312', '890', '167', '58', '264', '335', '183', '60', '66', '383', '934', '904', '956', '498', '805']
