['912', '685', '898', '716', '544', '487', '570', '928', '932', '332', '686', '232', '108', '731', '283', '986', '706', '784', '125', '585']
['76', '758', '828', '359', '871', '667', '896', '655', '855', '351', '189', '985', '760', '751', '885', '851', '275', '228', '865', '473']
['841', '226', '919', '680', '479', '104', '963', '884', '11', '684', '229', '966', '305', '456', '941', '811', '422', '58', '250', '495']
['14', '994', '77', '717', '449', '3', '626', '382', '741', '421', '20', '481', '746', '212', '468', '57', '592', '268', '486', '807']
['614', '596', '100', '83', '40', '234', '282', '448', '410', '949', '352', '522', '28', '214', '220', '155', '918', '135', '702', '659']
['772', '878', '767', '987', '820', '255', '299', '836', '335', '124', '41', '950', '791', '508', '94', '535', '165', '762', '984', '188']
['650', '798', '323', '718', '799', '420', '546', '749', '346', '710', '199', '866', '113', '472', '81', '225', '509', '653', '510', '892']
['192', '507', '393', '307', '73', '286', '975', '773', '154', '850', '780', '186', '427', '262', '200', '447', '90', '279', '106', '545']
['30', '785', '651', '648', '771', '840', '789', '143', '107', '394', '319', '185', '576', '776', '734', '687', '454', '549', '451', '387']
['559', '368', '224', '788', '631', '157', '459', '625', '353', '311', '376', '249', '141', '590', '4', '713', '227', '46', '483', '566']
['894', '444', '246', '968', '526', '603', '753', '95', '251', '158', '548', '574', '65', '10', '513', '826', '661', '989', '880', '821']
['360', '164', '934', '843', '794', '564', '462', '529', '230', '678', '347', '637', '489', '204', '609', '848', '300', '829', '408', '922']
['970', '908', '732', '982', '464', '2', '23', '180', '806', '615', '831', '747', '581', '244', '692', '740', '119', '294', '440', '708']
['935', '557', '471', '846', '969', '484', '630', '619', '868', '902', '954', '940', '670', '701', '87', '643', '295', '600', '528', '752']
['321', '822', '567', '956', '160', '610', '399', '809', '833', '317', '0', '254', '606', '700', '455', '12', '373', '597', '15', '68']
['715', '847', '42', '911', '971', '45', '72', '951', '388', '208', '193', '907', '587', '663', '330', '328', '682', '536', '19', '594']
['503', '24', '914', '302', '308', '402', '445', '67', '55', '888', '938', '51', '446', '698', '61', '854', '793', '604', '66', '284']
['537', '260', '122', '745', '815', '431', '259', '657', '137', '342', '96', '354', '837', '601', '575', '159', '38', '644', '13', '802']
['664', '665', '863', '532', '149', '414', '114', '993', '162', '645', '882', '499', '883', '639', '602', '754', '906', '699', '344', '709']
['805', '551', '518', '874', '988', '263', '569', '980', '580', '858', '924', '75', '163', '845', '886', '578', '273', '744', '622', '779']
['704', '726', '59', '542', '944', '595', '583', '867', '927', '573', '876', '381', '126', '80', '823', '676', '412', '480', '792', '390']
['493', '298', '796', '398', '983', '239', '156', '814', '79', '378', '296', '952', '384', '852', '43', '844', '662', '285', '817', '406']
['266', '267', '301', '824', '47', '116', '197', '613', '693', '377', '238', '589', '577', '177', '832', '153', '140', '25', '649', '247']
['714', '514', '265', '764', '467', '691', '182', '519', '568', '258', '466', '209', '18', '103', '333', '31', '211', '429', '474', '787']
['531', '909', '385', '491', '215', '281', '558', '490', '955', '69', '297', '322', '571', '738', '959', '169', '339', '642', '818', '172']
['834', '218', '109', '191', '750', '778', '672', '763', '999', '782', '517', '195', '304', '44', '586', '543', '527', '167', '770', '450']
['979', '358', '538', '748', '862', '407', '761', '6', '689', '71', '50', '554', '923', '801', '329', '8', '916', '327', '593', '611']
['496', '720', '913', '599', '409', '27', '35', '920', '964', '842', '312', '425', '827', '813', '129', '636', '621', '430', '591', '900']
['210', '790', '735', '245', '800', '524', '469', '121', '16', '961', '561', '411', '115', '893', '93', '835', '130', '899', '530', '945']
['506', '64', '864', '461', '724', '628', '849', '253', '757', '386', '572', '859', '413', '178', '416', '379', '705', '365', '120', '341']
['88', '774', '166', '722', '556', '426', '173', '1', '196', '804', '278', '240', '931', '320', '272', '470', '736', '605', '825', '525']
['541', '316', '97', '877', '903', '973', '917', '730', '242', '343', '856', '875', '777', '460', '977', '781', '37', '550', '957', '361']
