['425', '229', '844', '930', '928', '921', '761', '577', '487', '45']
['381', '802', '933', '280', '439', '261', '791', '179', '967', '461']
['890', '940', '809', '946', '64', '310', '719', '267', '314', '554']
['4', '323', '883', '136', '186', '703', '914', '76', '219', '557']
['715', '935', '71', '93', '10', '161', '650', '145', '720', '661']
['54', '30', '394', '787', '479', '873', '26', '548', '195', '983']
['41', '184', '866', '665', '998', '375', '456', '105', '927', '810']
['781', '382', '867', '624', '333', '509', '559', '75', '117', '965']
['162', '332', '160', '964', '339', '304', '357', '582', '596', '529']
['847', '81', '657', '571', '311', '549', '630', '538', '100', '600']
['319', '678', '455', '40', '572', '838', '958', '836', '57', '356']
['120', '562', '517', '90', '419', '410', '670', '238', '698', '625']
['168', '349', '112', '784', '48', '61', '440', '119', '17', '230']
['564', '12', '830', '908', '104', '900', '620', '863', '156', '84']
['402', '39', '826', '892', '771', '72', '786', '938', '98', '449']
['169', '426', '966', '628', '378', '501', '566', '747', '676', '895']
['611', '240', '263', '277', '814', '798', '116', '691', '313', '316']
['922', '198', '115', '614', '307', '629', '819', '662', '731', '236']
['675', '496', '919', '667', '705', '879', '815', '433', '361', '954']
['185', '950', '92', '244', '276', '49', '936', '474', '647', '594']
['643', '510', '695', '632', '459', '764', '196', '180', '924', '326']
['806', '605', '957', '544', '173', '217', '1', '512', '702', '254']
['765', '972', '666', '359', '532', '163', '235', '19', '859', '144']
['573', '858', '182', '893', '991', '860', '306', '537', '199', '385']
['534', '250', '384', '62', '413', '296', '386', '74', '843', '109']
['948', '216', '34', '688', '188', '218', '992', '651', '211', '383']
['888', '320', '897', '200', '25', '738', '660', '803', '124', '861']
['770', '553', '584', '595', '35', '913', '971', '807', '340', '739']
['886', '400', '775', '493', '561', '723', '309', '147', '256', '224']
['511', '444', '127', '142', '379', '415', '372', '835', '942', '832']
['894', '336', '993', '135', '408', '943', '52', '18', '910', '622']
['563', '545', '586', '390', '33', '55', '980', '329', '654', '285']
['576', '591', '51', '606', '373', '102', '453', '984', '255', '546']
['281', '533', '955', '905', '241', '368', '986', '73', '636', '138']
['515', '298', '492', '396', '726', '526', '848', '616', '258', '86']
['539', '197', '293', '911', '885', '151', '87', '489', '868', '693']
['613', '880', '788', '63', '896', '300', '88', '597', '279', '472']
['346', '275', '99', '312', '581', '91', '80', '259', '432', '146']
['589', '639', '67', '945', '697', '979', '507', '43', '805', '671']
['165', '522', '932', '541', '744', '876', '869', '118', '741', '435']
['128', '961', '917', '369', '317', '776', '968', '247', '334', '464']
['755', '448', '78', '619', '652', '875', '878', '506', '768', '631']
['20', '82', '994', '528', '962', '434', '482', '599', '21', '593']
['635', '760', '437', '60', '407', '321', '999', '6', '469', '111']
['393', '547', '370', '422', '583', '565', '916', '937', '944', '990']
['939', '782', '799', '286', '278', '0', '96', '420', '550', '740']
['621', '260', '713', '915', '988', '29', '556', '170', '692', '687']
['918', '728', '42', '982', '530', '463', '447', '358', '521', '486']
['428', '353', '602', '618', '637', '388', '194', '342', '445', '513']
['15', '155', '524', '732', '175', '95', '360', '923', '588', '973']
['351', '221', '767', '874', '850', '829', '367', '750', '725', '929']
['580', '348', '504', '409', '7', '567', '499', '623', '204', '270']
['682', '416', '871', '901', '822', '751', '877', '856', '934', '257']
['558', '780', '649', '174', '494', '365', '2', '926', '640', '568']
